Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Avesh Khan,1,4,0,23,1,23,5.75,24
P Negi,12,32.1,0,197,16,12.31,6.12,12
S Badree,7,25,1,188,9,20.88,7.52,16.6
YS Chahal,13,43.3,0,333,14,23.78,7.65,18.6
STR Binny,4,6,0,50,4,12.5,8.33,9
A Choudhary,5,16.5,2,144,5,28.8,8.55,20.2
TS Mills,5,17.5,0,153,5,30.6,8.57,21.4
B Stanlake,2,8,0,70,2,35,8.75,24
S Aravind,10,30.3,0,275,5,55,9.01,36.6
SR Watson,8,26.5,0,245,5,49,9.13,32.2
AF Milne,4,14,0,134,3,44.66,9.57,28
TM Head,5,8,0,81,2,40.5,10.12,24
HV Patel,1,4,0,43,3,14.33,10.75,8
Iqbal Abdulla,2,5,0,55,2,27.5,11,15
