Player,Inns,Runs,Ave,BF,SR,4s,6s
A Symonds,3,161,80.5,105,153.33,15,9
RG Sharma,12,404,36.72,273,147.98,38,19
Y Venugopal Rao,10,288,36,210,137.14,22,15
AC Gilchrist,14,436,33.53,318,137.1,51,19
VVS Laxman,6,155,31,132,117.42,22,1
LPC Silva,3,40,20,26,153.84,5,1
SB Styris,8,112,18.66,123,91.05,9,2
HH Gibbs,9,167,18.55,153,109.15,17,8
DB Ravi Teja,6,109,18.16,82,132.92,10,5
DNT Zoysa,2,11,11,9,122.22,1,0
Shahid Afridi,9,81,10.12,46,176.08,7,6
AS Yadav,6,49,9.8,39,125.64,5,2
SB Bangar,7,47,7.83,49,95.91,1,3
WPUJC Vaas,4,21,7,18,116.66,0,1
RP Singh,9,27,6.75,24,112.5,2,1
D Kalyankrishna,1,3,3,8,37.5,0,0
H Das,1,2,2,5,40.0,0,0
PP Ojha,4,2,1,4,50.0,0,0
PM Sarvesh Kumar,1,1,-,2,50.0,0,0
DP Vijaykumar,2,1,-,1,100.0,0,0
