Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Arshdeep Singh,3,9,0,64,5,12.8,7.11,10.8
Mohammed Shami,3,12,0,107,4,26.75,8.91,18
Jalaj S Saxena,1,3,0,27,0,-,9,-
DJ Hooda,1,2,0,18,0,-,9,-
RP Meredith,3,10,0,105,2,52.5,10.5,30
JA Richardson,3,11,0,117,3,39,10.63,22
M Ashwin,2,7,0,75,1,75,10.71,42
