Player,Inns,Runs,Ave,BF,SR,4s,6s
S Dhawan,17,618,44.14,427,144.73,67,12
SS Iyer,17,519,34.6,421,123.27,40,16
RR Pant,14,343,31.18,301,113.95,31,9
MP Stoinis,17,352,25.14,237,148.52,31,16
SO Hetmyer,11,185,23.12,125,148,11,12
TU Deshpande,2,21,21,12,175,2,1
PP Shaw,13,228,17.53,167,136.52,27,8
AT Carey,3,32,16,29,110.34,0,1
AR Patel,9,117,14.62,85,137.64,6,8
AM Rahane,8,113,14.12,107,105.6,12,2
K Rabada,8,56,14,49,114.28,4,2
R Ashwin,6,37,12.33,34,108.82,3,1
HV Patel,2,21,10.5,24,87.5,2,0
A Nortje,5,7,7,6,116.66,0,0
DR Sams,1,0,0,2,0,0,0
P Dubey,1,7,-,13,53.84,0,0
