Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
RE van der Merwe,4,14.5,0,92,5,18.4,6.2,17.8
AJ Finch,1,2,0,13,0,-,6.5,-
VR Aaron,3,12,0,82,2,41,6.83,36
S Nadeem,5,19,0,142,4,35.5,7.47,28.5
IK Pathan,13,45.5,2,344,11,31.27,7.5,25
M Morkel,11,43,0,325,13,25,7.55,19.8
AM Salvi,2,8,0,66,3,22,8.25,16
JR Hopes,9,32,0,272,7,38.85,8.5,27.4
AB Agarkar,7,27,0,231,8,28.87,8.55,20.2
AB Dinda,5,17,0,152,5,30.4,8.94,20.4
UT Yadav,6,18,0,169,2,84.5,9.38,54
AB McDonald,1,2,0,23,0,-,11.5,-
Y Venugopal Rao,2,2,0,26,0,-,13,-
Y Nagar,5,5,0,67,1,67,13.4,30
S Sriram,1,1,0,25,0,-,25,-
