Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
NJ Rimmington,1,3,0,19,0,-,6.33,-
Bipul Sharma,4,12,0,78,4,19.5,6.5,18
VS Malik,1,2,0,13,0,-,6.5,-
P Kumar,13,46,5,345,10,34.5,7.5,27.6
PC Valthaty,9,24.1,0,189,7,27,7.82,20.7
RJ Harris,13,47,1,382,16,23.87,8.12,17.6
PP Chawla,12,41.2,0,336,16,21,8.12,15.5
BA Bhatt,8,27.5,0,229,9,25.44,8.22,18.5
SJ Srivastava,6,20,0,186,8,23.25,9.3,15
AM Nayar,6,10.1,0,95,2,47.5,9.34,30.5
R McLaren,6,18,0,178,5,35.6,9.88,21.6
DJ Hussey,2,3,0,38,1,38,12.66,18
L Ablish,1,3,0,39,0,-,13,-
