Player,Inns,Runs,Ave,BF,SR,4s,6s
KP Pietersen,7,236,59,157,150.31,23,8
JH Kallis,16,572,47.66,494,115.78,67,9
RV Uthappa,14,374,31.16,218,171.55,21,27
R Dravid,11,256,28.44,199,128.64,34,3
V Kohli,13,307,27.9,212,144.81,26,12
S Sriram,1,27,27,29,93.1,3,0
CL White,5,48,24,33,145.45,3,3
LRPL Taylor,7,88,22,75,117.33,2,6
MK Pandey,13,249,20.75,226,110.17,27,7
MV Boucher,2,13,13,10,130,0,1
EJG Morgan,4,35,11.66,30,116.66,2,1
SP Goswami,1,8,8,10,80,2,0
R Vinay Kumar,5,27,6.75,32,84.37,1,0
A Mithun,1,5,5,4,125,1,0
DW Steyn,4,13,3.25,17,76.47,2,0
P Kumar,4,4,2,8,50,0,0
KP Appanna,2,2,2,3,66.66,0,0
Pankaj Singh,1,1,1,2,50,0,0
RE van der Merwe,1,1,1,2,50,0,0
A Kumble,5,6,-,11,54.54,0,0
