Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
STR Binny,5,7,0,44,1,44,6.28,42
JC Archer,11,43,2,291,11,26.45,6.76,23.4
S Gopal,14,48,1,347,20,17.35,7.22,14.4
O Thomas,4,10,0,79,5,15.8,7.9,12
K Gowtham,7,20,0,166,1,166,8.3,120
R Parag,7,14,0,121,2,60.5,8.64,42
IS Sodhi,2,7.1,1,67,4,16.75,9.34,10.7
DS Kulkarni,10,35,1,335,6,55.83,9.57,35
VR Aaron,5,12,1,116,4,29,9.66,18
JD Unadkat,11,37.2,0,398,10,39.8,10.66,22.4
BA Stokes,6,16.5,0,189,6,31.5,11.22,16.8
LS Livingstone,1,1,0,13,0,-,13,-
S Midhun,1,2,0,27,0,-,13.5,-
