Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Miller,16,446,44.6,299,149.16,34,21
R Dhawan,6,82,41,75,109.33,8,1
M Vohra,8,324,40.5,233,139.05,27,16
SE Marsh,2,70,35,52,134.61,7,3
GJ Maxwell,16,552,34.5,294,187.75,48,36
WP Saha,13,362,32.9,249,145.38,33,18
GJ Bailey,16,257,28.55,190,135.26,19,10
V Sehwag,17,455,26.76,315,144.44,56,18
CA Pujara,6,125,25,124,100.8,17,0
MG Johnson,8,56,18.66,50,112,4,3
AR Patel,8,62,10.33,60,103.33,6,1
Mandeep Singh,3,24,8,26,92.3,2,0
Shivam Sharma,2,5,5,3,166.66,1,0
L Balaji,2,1,1,3,33.33,0,0
BE Hendricks,1,0,0,1,0,0,0
Sandeep Sharma,1,2,-,5,40,0,0
Karanveer Singh,1,1,-,1,100,0,0
