Player,Inns,Runs,Ave,BF,SR,4s,6s
YK Pathan,12,312,44.57,231,135.06,29,12
AD Russell,11,326,36.22,169,192.89,35,19
RV Uthappa,13,364,30.33,277,131.4,42,7
UT Yadav,4,29,29,14,207.14,5,1
G Gambhir,13,327,25.15,278,117.62,41,4
MK Pandey,12,225,20.45,184,122.28,22,7
RN ten Doeschate,5,61,20.33,45,135.55,4,3
SA Yadav,13,157,17.44,113,138.93,12,8
PP Chawla,8,54,13.5,47,114.89,5,2
Shakib Al Hasan,3,36,12,27,133.33,5,0
J Botha,3,31,10.33,15,206.66,5,1
GB Hogg,2,7,7,6,116.66,0,0
Azhar Mahmood,1,6,6,7,85.71,1,0
PJ Cummins,1,0,0,2,0,0,0
M Morkel,1,4,-,3,133.33,0,0
SP Narine,1,0,-,1,0,0,0
