Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
AS Roy,1,2,0,11,1,11,5.5,12
RD Chahar,13,47,0,308,13,23.69,6.55,21.6
JJ Bumrah,16,61.4,1,409,19,21.52,6.63,19.4
J Yadav,2,7,0,50,1,50,7.14,42
KH Pandya,16,46,0,335,12,27.91,7.28,23
MJ McClenaghan,5,18,1,142,3,47.33,7.88,36
JP Behrendorff,5,19,0,165,5,33,8.68,22.8
HH Pandya,16,42.3,0,390,14,27.85,9.17,18.2
SL Malinga,12,44.5,0,438,16,27.37,9.76,16.8
M Markande,3,6,0,59,1,59,9.83,36
AS Joseph,3,8.4,1,87,6,14.5,10.03,8.6
Rasikh Salam,1,4,0,42,0,-,10.5,-
BB Sran,2,4,0,51,0,-,12.75,-
BCJ Cutting,1,2,0,27,1,27,13.5,12
