Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
J Yadav,3,7,0,29,2,14.5,4.14,21
S Nadeem,2,7,1,43,0,-,6.14,-
Z Khan,7,24.1,1,156,7,22.28,6.45,20.7
DJ Muthuswami,6,14,0,101,4,25.25,7.21,21
JP Duminy,9,17,0,126,8,15.75,7.41,12.7
NM Coulter-Nile,11,42.3,1,321,15,21.4,7.55,17
A Mishra,12,40.1,0,310,9,34.44,7.71,26.7
Yuvraj Singh,6,9,0,72,1,72,8,54
AD Mathews,10,30,0,246,7,35.14,8.2,25.7
Imran Tahir,10,35.3,0,314,15,20.93,8.84,14.2
JA Morkel,4,12,0,109,3,36.33,9.08,24
JD Unadkat,1,3,0,30,0,-,10,-
GS Sandhu,2,8,0,82,1,82,10.25,48
