Player,Inns,Runs,Ave,BF,SR,4s,6s
JP Faulkner,12,181,45.25,94,192.55,8,16
SPD Smith,7,147,36.75,110,133.63,13,4
BJ Hodge,4,101,33.66,72,140.27,4,6
KK Nair,11,330,33,232,142.24,38,9
AM Rahane,12,339,28.25,291,116.49,38,3
SV Samson,13,339,26.07,273,124.17,25,17
SR Watson,13,240,20,196,122.44,19,14
Ankit Sharma,2,34,17,30,113.33,4,1
R Tewatia,1,16,16,13,123.07,0,1
AM Nayar,4,43,14.33,47,91.48,5,1
R Bhatia,7,67,13.4,53,126.41,4,3
KK Cooper,5,39,13,26,150,2,3
STR Binny,12,123,12.3,121,101.65,4,5
BCJ Cutting,1,8,8,6,133.33,0,1
TG Southee,1,4,4,4,100,1,0
PV Tambe,2,5,2.5,9,55.55,0,0
UBT Chand,1,2,2,9,22.22,0,0
KW Richardson,1,1,1,2,50,0,0
DS Kulkarni,2,35,-,25,140,1,2
DH Yagnik,1,4,-,6,66.66,0,0
VS Malik,1,1,-,2,50,0,0
