Player,Inns,Runs,Ave,BF,SR,4s,6s
SPD Smith,10,319,39.87,275,116,30,4
JC Buttler,8,311,38.87,205,151.7,38,14
SV Samson,12,342,34.2,230,148.69,28,13
JC Archer,5,67,33.5,40,167.5,4,4
AM Rahane,13,393,32.75,285,137.89,45,9
R Parag,5,160,32,126,126.98,17,5
RA Tripathi,7,141,23.5,118,119.49,13,2
STR Binny,5,70,23.33,40,175,5,4
LS Livingstone,4,70,23.33,48,145.83,6,5
BA Stokes,9,123,20.5,99,124.24,8,4
S Gopal,7,63,15.75,46,136.95,8,1
MK Lomror,1,8,8,3,266.66,2,0
K Gowtham,4,18,6,19,94.73,1,1
IS Sodhi,1,6,6,11,54.54,0,0
AJ Turner,4,3,1,10,30,0,0
JD Unadkat,4,1,1,3,33.33,0,0
DS Kulkarni,1,5,-,3,166.66,1,0
VR Aaron,1,3,-,7,42.85,0,0
