Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Mustafizur Rahman,16,61,1,421,17,24.76,6.9,21.5
KS Williamson,1,1,0,7,0,-,7,-
BCJ Cutting,4,11.1,0,80,5,16,7.16,13.4
B Kumar,17,66,3,490,23,21.3,7.42,17.2
DJ Hooda,6,13,0,97,3,32.33,7.46,26
A Nehra,8,26,1,199,9,22.11,7.65,17.3
MC Henriques,17,52,0,415,12,34.58,7.98,26
BB Sran,14,49.3,0,413,14,29.5,8.34,21.2
Yuvraj Singh,5,6.1,0,52,0,-,8.43,-
Bipul Sharma,6,14,0,121,3,40.33,8.64,28
TA Boult,1,4,0,39,1,39,9.75,24
A Ashish Reddy,2,3.5,0,39,1,39,10.17,23
KV Sharma,5,16.2,0,171,0,-,10.46,-
