Player,Inns,Runs,Ave,BF,SR,4s,6s
TK Curran,4,83,83.0,62,133.87,5,3
R Tewatia,11,255,42.5,183,139.34,13,17
BA Stokes,8,285,40.71,200,142.5,36,7
JC Buttler,12,328,32.8,227,144.49,27,16
SV Samson,14,375,28.84,236,158.89,21,26
SPD Smith,14,311,25.91,237,131.22,32,9
MK Lomror,3,59,19.66,54,109.25,2,3
JC Archer,10,113,18.83,63,179.36,5,10
RV Uthappa,12,196,16.33,164,119.51,19,7
YBK Jaiswal,3,40,13.33,44,90.9,2,2
R Parag,8,86,12.28,77,111.68,6,3
S Gopal,5,37,9.25,39,94.87,3,0
AS Rajpoot,2,9,9.0,10,90,0,1
JD Unadkat,1,9,9.0,13,69.23,0,0
AJ Tye,1,6,6.0,6,100,0,1
Kartik Tyagi,3,4,4.0,6,66.66,0,0
VR Aaron,2,1,1.0,10,10,0,0
DA Miller,1,0,0.0,0,-,0,0
