Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
A Singh,5,17.3,0,95,9,10.55,5.42,11.6
M Morkel,2,7,0,40,0,-,5.71,-
LA Carseldine,1,1,0,6,1,6,6,6
J Botha,3,12,0,74,3,24.66,6.16,24
RA Jadeja,10,23.2,0,151,6,25.16,6.47,23.3
T Henderson,2,6,0,40,1,40,6.66,36
AD Mascarenhas,5,19.2,1,132,6,22,6.82,19.3
MM Patel,11,34.5,1,241,16,15.06,6.91,13
YK Pathan,11,35,0,243,7,34.71,6.94,30
Kamran Khan,5,17.4,0,124,6,20.66,7.01,17.6
SK Warne,13,50,0,365,14,26.07,7.3,21.4
SM Harwood,3,10,0,73,3,24.33,7.3,20
SK Trivedi,7,20,0,152,6,25.33,7.6,20
AS Raut,4,4,0,36,0,-,9,-
