Player,Inns,Runs,Ave,BF,SR,4s,6s
SPD Smith,7,159,39.75,132,120.45,15,4
AJ Finch,14,456,32.57,336,135.71,54,16
RV Uthappa,16,434,27.12,371,116.98,42,12
AD Mathews,10,172,24.57,139,123.74,5,10
MK Pandey,7,136,22.66,137,99.27,11,3
LJ Wright,6,106,21.2,60,176.66,16,3
MR Marsh,8,140,20,106,132.07,6,10
Yuvraj Singh,13,238,19.83,190,125.26,14,15
KW Richardson,2,34,17,36,94.44,2,1
LRPL Taylor,5,63,12.6,76,82.89,2,1
AM Nayar,9,66,11,73,90.41,5,0
TL Suman,5,52,10.4,58,89.65,8,0
B Kumar,9,52,7.42,71,73.23,3,1
UA Birla,1,7,7,14,50.0,1,0
AG Murtaza,1,5,5,4,125.0,1,0
WD Parnell,1,5,5,7,71.42,0,0
Parvez Rasool,2,5,5,9,55.55,0,0
M Rawat,2,5,5,11,45.45,0,0
AB Dinda,5,9,4.5,11,81.81,1,0
MN Samuels,2,8,4,18,44.44,1,0
R Sharma,6,11,2.75,17,64.7,1,0
BAW Mendis,1,2,2,4,50.0,0,0
IC Pandey,1,0,0,2,0.0,0,0
M Manhas,2,13,-,17,76.47,1,0
RV Gomez,1,4,-,1,400.0,1,0
K Upadhyay,1,1,-,1,100.0,0,0
