Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
DJ Thornely,4,7,0,40,3,13.33,5.71,14
SM Pollock,13,46,1,301,11,27.36,6.54,25
DR Smith,4,11,0,83,5,16.6,7.54,13.2
ST Jayasuriya,8,21,1,159,4,39.75,7.57,31.5
A Nehra,14,44.5,0,348,12,29,7.76,22.4
DS Kulkarni,10,29.3,0,236,11,21.45,8,16
CRD Fernando,5,20,0,160,10,16,8,12
DJ Bravo,9,28.2,1,232,11,21.09,8.18,15.4
Harbhajan Singh,3,10,0,82,5,16.4,8.2,12
RR Raje,6,16.2,0,137,5,27.4,8.38,19.6
AM Nayar,5,7,0,68,1,68,9.71,42
SD Chitnis,2,6,0,60,2,30,10,18
MA Khote,2,5,0,51,2,25.5,10.2,15
A Nel,1,3,0,31,1,31,10.33,18
VS Yeligati,2,5,0,59,0,-,11.8,-
