Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
BJ Hodge,1,1,0,3,0,-,3,-
VS Malik,3,10,0,59,2,29.5,5.9,30
A Chandila,8,25,0,156,6,26,6.24,25
STR Binny,14,24,0,162,6,27,6.75,24
JP Faulkner,16,63.1,2,427,28,15.25,6.75,13.5
SK Trivedi,17,59.5,1,410,12,34.16,6.85,29.9
AA Chavan,3,9,0,63,1,63,7,54
SR Watson,13,41.4,0,298,13,22.92,7.15,19.2
S Sreesanth,7,21.4,2,163,5,32.6,7.52,26
PV Tambe,3,11,0,88,1,88,8,66
KK Cooper,14,54,0,449,19,23.63,8.31,17
S Badree,1,4,0,34,0,-,8.5,-
Harmeet Singh,1,4,0,34,1,34,8.5,24
GB Hogg,1,3.2,0,31,0,-,9.3,-
SW Tait,3,10,0,98,1,98,9.8,60
R Shukla,3,8,0,79,3,26.33,9.87,16
