Player,Inns,Runs,Ave,BF,SR,4s,6s
MK Pandey,4,168,84,118,142.37,17,4
LRPL Taylor,11,280,31.11,208,134.61,20,15
MV Boucher,9,150,30,116,129.31,8,6
JH Kallis,15,361,27.76,332,108.73,37,8
SP Goswami,2,53,26.5,60,88.33,6,0
R Dravid,12,271,22.58,234,115.81,28,3
V Kohli,13,246,22.36,219,112.32,22,8
A Kumble,7,16,16,19,84.21,2,0
RV Uthappa,13,175,15.9,170,102.94,18,3
KP Pietersen,6,93,15.5,85,109.41,8,2
RE van der Merwe,8,122,15.25,98,124.48,8,8
P Kumar,8,65,13,46,141.3,1,6
JD Ryder,5,56,11.2,49,114.28,9,0
D du Preez,1,10,10,13,76.92,0,0
R Vinay Kumar,8,47,9.4,44,106.81,4,1
B Akhil,3,17,8.5,15,113.33,1,1
W Jaffer,2,15,7.5,17,88.23,2,0
R Bishnoi,3,19,6.33,17,111.76,1,2
Pankaj Singh,2,1,1,2,50,0,0
KV Sharma,1,1,1,3,33.33,0,0
DW Steyn,2,0,0,3,0,0,0
KP Appanna,1,0,-,1,0,0,0
