Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Ankit Sharma,2,8,0,43,4,10.75,5.37,12
R Tewatia,3,9,0,59,2,29.5,6.55,27
STR Binny,8,9,0,64,3,21.33,7.11,18
PV Tambe,13,49,0,356,15,23.73,7.26,19.6
KK Cooper,5,18,0,134,4,33.5,7.44,27
R Bhatia,12,38,0,283,12,23.58,7.44,19
TG Southee,3,10,0,76,0,-,7.6,-
KW Richardson,7,27,0,206,9,22.88,7.62,18
BCJ Cutting,1,4,0,31,1,31,7.75,24
SR Watson,9,21,1,165,7,23.57,7.85,18
DS Kulkarni,8,27,1,221,6,36.83,8.18,27
Iqbal Abdulla,1,2,0,17,0,-,8.5,-
VS Malik,1,3,0,29,1,29,9.66,18
JP Faulkner,13,43,0,419,11,38.09,9.74,23.4
