Player,Inns,Runs,Ave,BF,SR,4s,6s
DJ Bravo,16,371,46.37,264,140.53,20,20
F du Plessis,12,398,33.16,304,130.92,29,17
MEK Hussey,8,261,32.62,236,110.59,28,8
MS Dhoni,17,358,29.83,278,128.77,26,9
S Badrinath,9,196,28,181,108.28,23,2
SK Raina,18,441,25.94,325,135.69,36,19
M Vijay,14,336,25.84,267,125.84,39,10
RA Jadeja,14,191,15.91,151,126.49,13,9
JA Morkel,12,107,15.28,68,157.35,5,6
R Ashwin,5,18,6,15,120,2,0
WP Saha,1,6,6,14,42.85,0,0
DE Bollinger,1,3,3,5,60,0,0
S Anirudha,2,19,-,7,271.42,1,2
SB Jakati,2,7,-,12,58.33,0,0
KMDN Kulasekara,1,5,-,3,166.66,1,0
