Player,Inns,Runs,Ave,BF,SR,4s,6s
MEK Hussey,3,168,84,100,168,12,11
ML Hayden,4,189,63,131,144.27,24,6
MS Dhoni,14,414,41.4,310,133.54,38,15
SK Raina,14,421,38.27,295,142.71,35,18
MS Gony,5,35,35,23,152.17,2,3
JA Morkel,10,241,34.42,163,147.85,18,14
S Badrinath,11,192,32,130,147.69,21,8
PA Patel,13,302,27.45,297,101.68,42,3
SP Fleming,10,196,21.77,165,118.78,27,3
S Vidyut,8,145,18.12,109,133.02,21,3
JDP Oram,3,18,18,12,150,1,1
M Ntini,2,11,11,18,61.11,2,0
Joginder Sharma,3,16,8,11,145.45,1,1
CK Kapugedera,3,16,5.33,23,69.56,0,0
S Anirudha,1,1,1,7,14.28,0,0
L Balaji,1,0,0,4,0,0,0
A Mukund,1,0,0,1,0,0,0
M Muralitharan,1,0,0,3,0,0,0
