Player,Inns,Runs,Ave,BF,SR,4s,6s
OA Shah,5,115,57.5,95,121.05,7,5
AB Agarkar,4,40,40,29,137.93,4,0
SC Ganguly,14,493,37.92,419,117.66,58,15
AD Mathews,11,233,33.28,184,126.63,18,8
CH Gayle,9,292,32.44,184,158.69,30,16
CA Pujara,6,122,30.5,115,106.08,14,3
BB McCullum,5,114,28.5,110,103.63,14,2
MK Tiwary,11,237,26.33,186,127.41,23,5
BJ Hodge,4,99,24.75,90,110,11,1
DJ Hussey,6,94,23.5,86,109.3,5,5
WP Saha,7,67,22.33,53,126.41,9,1
LR Shukla,2,36,18,26,138.46,3,2
M Kartik,2,22,11,22,100,2,0
I Sharma,2,6,6,17,35.29,0,0
Mandeep Singh,2,4,2,11,36.36,1,0
RS Gavaskar,1,2,2,8,25,0,0
SE Bond,1,1,1,2,50,0,0
AB Dinda,1,0,0,1,0,0,0
CK Langeveldt,1,0,0,1,0,0,0
BAW Mendis,1,1,-,1,100,0,0
Iqbal Abdulla,1,0,-,1,0,0,0
