Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Warner,17,848,60.57,560,151.42,88,31
S Dhawan,17,501,38.53,429,116.78,51,8
BCJ Cutting,4,65,32.5,34,191.17,4,6
Yuvraj Singh,10,236,26.22,179,131.84,22,13
Bipul Sharma,4,51,25.5,25,204,1,5
EJG Morgan,6,123,24.6,105,117.14,8,4
A Ashish Reddy,3,47,23.5,29,162.06,2,4
KS Williamson,6,124,20.66,122,101.63,14,0
MC Henriques,15,182,15.16,158,115.18,15,6
NV Ojha,13,136,13.6,138,98.55,7,5
DJ Hooda,15,144,10.28,121,119,9,5
B Kumar,8,43,7.16,27,159.25,6,1
AP Tare,2,8,4,15,53.33,1,0
KV Sharma,3,36,-,30,120,3,1
BB Sran,4,4,-,4,100,0,0
A Nehra,2,1,-,1,100,0,0
