Player,Inns,Runs,Ave,BF,SR,4s,6s
WP Saha,4,214,71.33,153,139.86,24,5
KS Williamson,11,317,45.28,237,133.75,26,10
DA Warner,16,548,39.14,407,134.64,52,14
JO Holder,4,66,33,53,124.52,5,3
MK Pandey,15,425,32.69,333,127.62,35,18
JM Bairstow,11,345,31.36,272,126.83,31,13
V Shankar,5,97,24.25,96,101.04,10,1
Abdul Samad,8,111,22.2,65,170.76,8,6
PK Garg,10,133,14.77,111,119.81,9,4
Abhishek Sharma,7,71,14.2,56,126.78,6,3
Rashid Khan,7,35,8.75,30,116.66,3,2
S Nadeem,2,7,7,8,87.5,1,0
Sandeep Sharma,5,12,6,15,80,1,0
KK Ahmed,1,0,0,2,0,0,0
B Kumar,1,0,0,2,0,0,0
MR Marsh,1,0,0,1,0,0,0
SP Goswami,2,0,0,4,0,0,0
Mohammad Nabi,1,11,-,8,137.5,2,0
T Natarajan,3,3,-,5,60,0,0
