Player,Inns,Runs,Ave,BF,SR,4s,6s
AC Voges,7,181,45.25,143,126.57,15,3
SR Watson,5,185,37,114,162.28,18,9
NV Ojha,14,377,31.41,285,132.28,42,15
AS Raut,5,56,28,48,116.66,3,3
YK Pathan,14,333,27.75,201,165.67,22,24
MJ Lumb,11,278,25.27,192,144.79,45,6
GC Smith,2,44,22,39,112.82,7,0
AJ Finch,1,21,21,21,100,0,1
FY Fazal,9,164,20.5,154,106.49,19,1
AA Jhunjhunwala,11,183,20.33,166,110.24,16,4
DR Martyn,1,19,19,24,79.16,1,0
AP Dole,2,34,17,22,154.54,3,1
P Dogra,8,107,13.37,106,100.94,4,5
AD Mascarenhas,2,12,12,10,120,0,0
SW Tait,2,12,12,13,92.3,0,1
SK Trivedi,4,20,10,14,142.85,3,1
M Morkel,2,9,9,16,56.25,1,0
S Narwal,3,14,7,12,116.66,2,0
MM Patel,2,4,4,5,80,0,0
A Uniyal,2,4,4,7,57.14,0,0
SA Asnodkar,2,5,2.5,4,125,1,0
SK Warne,7,10,2,19,52.63,0,0
AG Paunikar,1,0,0,1,0,0,0
Kamran Khan,1,0,-,0,-,0,0
