Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
S Lamichhane,3,12,0,82,5,16.4,6.83,14.4
A Mishra,10,37,1,264,12,22,7.13,18.5
R Tewatia,8,22,0,173,6,28.83,7.86,22
GJ Maxwell,10,16,0,132,5,26.4,8.25,19.2
DT Christian,4,11.5,0,101,4,25.25,8.53,17.7
TA Boult,14,52.4,1,466,18,25.88,8.84,17.5
LE Plunkett,7,25,0,225,4,56.25,9,37.5
HV Patel,5,17.3,0,167,7,23.85,9.54,15
CH Morris,4,14,0,143,3,47.66,10.21,28
Mohammed Shami,4,13.5,0,144,3,48,10.4,27.6
S Nadeem,6,15,0,161,3,53.66,10.73,30
Avesh Khan,6,19,0,204,4,51,10.73,28.5
CJ Dala,1,3,0,34,0,-,11.33,-
V Shankar,4,5,0,58,1,58,11.6,30
