Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
N Rana,5,6.1,0,44,4,11,7.13,9.2
SP Narine,16,61,0,467,17,27.47,7.65,21.5
Kuldeep Yadav,16,51.2,0,418,17,24.58,8.14,18.1
PP Chawla,15,49,0,412,14,29.42,8.4,21
M Prasidh Krishna,7,28,0,260,10,26,9.28,16.8
AD Russell,15,37.5,0,355,13,27.3,9.38,17.4
Shivam Mavi,9,28,0,270,5,54,9.64,33.6
MG Johnson,6,21,0,216,2,108,10.28,63
TK Curran,5,10.1,0,118,6,19.66,11.6,10.1
JPR Scantlebury-Searles,3,7,0,89,2,44.5,12.71,21
R Vinay Kumar,2,3.5,0,65,2,32.5,16.95,11.5
