Player,Inns,Runs,Ave,BF,SR,4s,6s
SK Raina,16,520,47.27,364,142.85,45,22
M Vijay,15,458,35.23,292,156.84,36,26
S Badrinath,15,356,32.36,303,117.49,41,5
MS Dhoni,11,287,31.88,210,136.66,26,8
S Anirudha,3,30,30,18,166.66,2,2
JA Morkel,11,198,24.75,131,151.14,10,13
ML Hayden,16,346,21.62,279,124.01,37,16
MEK Hussey,3,37,18.5,44,84.09,2,0
PA Patel,4,72,18,79,91.13,6,2
GJ Bailey,1,18,18,27,66.66,2,0
JM Kemp,2,26,13,24,108.33,1,1
T Thushara,2,10,10,11,90.9,0,0
L Balaji,3,18,9,20,90,1,1
R Ashwin,6,30,7.5,40,75,2,0
MS Gony,1,2,2,6,33.33,0,0
M Muralitharan,1,1,1,2,50,0,0
DE Bollinger,2,18,-,17,105.88,1,1
KB Arun Karthik,1,3,-,5,60,0,0
S Tyagi,1,3,-,4,75,0,0
C Ganapathy,1,0,-,0,-,0,0
SB Jakati,2,0,-,0,-,0,0
