Player,Inns,Runs,Ave,BF,SR,4s,6s
SE Marsh,13,504,42,344,146.51,52,20
PC Valthaty,14,463,35.61,338,136.98,55,20
R McLaren,4,90,30,96,93.75,7,1
AC Gilchrist,14,383,27.35,295,129.83,41,18
KD Karthik,13,282,25.63,220,128.18,32,7
Bipul Sharma,3,23,23,18,127.77,1,0
PP Chawla,6,48,16,55,87.27,2,2
Mandeep Singh,5,47,11.75,41,114.63,4,1
Sunny Singh,5,43,10.75,31,138.7,6,1
DJ Hussey,8,64,10.66,63,101.58,3,3
P Kumar,7,27,9,31,87.09,2,1
SD Chitnis,1,9,9,9,100,1,0
AM Nayar,9,61,8.71,67,91.04,9,0
RJ Harris,7,31,6.2,39,79.48,3,0
BA Bhatt,1,0,0,5,0,0,0
SJ Srivastava,2,4,-,3,133.33,0,0
NJ Rimmington,1,1,-,1,100,0,0
L Ablish,1,0,-,2,0,0,0
