Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
RS Bopara,2,1.2,0,5,0,-,3.75,-
B Lee,5,20,1,111,5,22.2,5.55,24
RR Powar,8,21,0,132,5,26.4,6.28,25.2
WA Mota,5,9,0,61,3,20.33,6.77,18
PP Chawla,14,44.5,1,308,12,25.66,6.86,22.4
Yuvraj Singh,9,20,0,142,6,23.66,7.1,20
K Goel,4,8,0,61,0,-,7.62,-
IK Pathan,14,50.2,1,390,17,22.94,7.74,17.7
VS Malik,5,12,0,98,2,49,8.16,36
S Sreesanth,7,23,0,192,6,32,8.34,23
YA Abdulla,9,28,1,241,14,17.21,8.6,12
VRV Singh,4,9,0,82,1,82,9.11,54
RR Bose,1,2,0,24,0,-,12,-
