Player,Inns,Runs,Ave,BF,SR,4s,6s
M Shahrukh Khan,3,68,68,45,151.11,7,3
KL Rahul,3,157,52.33,108,145.37,15,7
DJ Hooda,3,96,48,56,171.42,5,8
MA Agarwal,3,83,27.66,47,176.59,9,4
CH Gayle,3,61,20.33,47,129.78,6,3
JA Richardson,2,15,7.5,24,62.5,2,0
M Ashwin,1,6,6,14,42.85,0,0
N Pooran,3,9,3,11,81.81,1,0
Mohammed Shami,1,9,-,12,75,0,0
RP Meredith,1,0,-,0,-,0,0
