Player,Inns,Runs,Ave,BF,SR,4s,6s
DB Das,10,126,42,93,135.48,9,6
G Gambhir,17,590,36.87,411,143.55,64,17
MS Bisla,7,213,30.42,160,133.12,16,10
MK Tiwary,15,260,26,246,105.69,21,3
JH Kallis,17,409,25.56,384,106.51,34,10
BB McCullum,12,289,24.08,283,102.12,37,3
B Lee,3,42,21,20,210,2,4
YK Pathan,16,194,19.4,169,114.79,10,7
Shakib Al Hasan,7,91,15.16,74,122.97,6,3
LR Shukla,8,75,12.5,57,131.57,4,5
R Bhatia,6,35,11.66,28,125,4,0
RN ten Doeschate,3,21,10.5,21,100,1,1
SP Narine,2,9,9,7,128.57,2,0
Iqbal Abdulla,2,2,-,3,66.66,0,0
