Player,Inns,Runs,Ave,BF,SR,4s,6s
KA Pollard,18,420,42,281,149.46,27,29
RG Sharma,19,538,38.42,409,131.54,35,28
DR Smith,13,418,32.15,341,122.58,40,19
KD Karthik,19,510,28.33,411,124.08,54,14
AP Tare,5,123,24.6,84,146.42,14,5
SR Tendulkar,14,287,22.07,231,124.24,38,5
Harbhajan Singh,14,116,19.33,79,146.83,12,5
AT Rayudu,17,265,18.92,231,114.71,22,4
GJ Maxwell,3,36,18,27,133.33,1,4
RT Ponting,5,52,10.4,75,69.33,3,1
MG Johnson,6,39,9.75,36,108.33,2,2
NM Coulter-Nile,1,9,9,6,150,0,1
R Dhawan,4,21,7,21,100,3,0
SL Malinga,6,9,2.25,18,50,1,0
PP Ojha,3,2,2,4,50,0,0
MM Patel,1,0,-,0,-,0,0
