Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
SP Narine,16,64,0,407,21,19.38,6.35,18.2
Shakib Al Hasan,13,50,1,334,11,30.36,6.68,27.2
RN ten Doeschate,4,5,0,35,1,35,7,30
PJ Cummins,1,4,1,29,1,29,7.25,24
M Morkel,12,48,1,367,12,30.58,7.64,24
PP Chawla,11,39.3,0,303,14,21.64,7.67,16.9
SA Yadav,1,1,0,8,0,-,8,-
UT Yadav,12,45,0,367,11,33.36,8.15,24.5
JH Kallis,8,22,0,186,4,46.5,8.45,33
R Vinay Kumar,9,32,0,281,7,40.14,8.78,27.4
YK Pathan,1,1,0,10,0,-,10,-
AD Russell,2,5,0,52,1,52,10.4,30
