Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
RV Gomez,1,1,0,5,0,-,5,-
Parvez Rasool,2,5,0,28,1,28,5.6,30
BAW Mendis,3,12,0,78,2,39,6.5,36
B Kumar,16,57,2,371,13,28.53,6.5,26.3
R Sharma,11,41,0,281,9,31.22,6.85,27.3
Yuvraj Singh,10,22,0,152,6,25.33,6.9,22
AM Nayar,3,8,0,59,2,29.5,7.37,24
TL Suman,1,2,0,15,1,15,7.5,12
AD Mathews,10,31,0,240,5,48,7.74,37.2
MN Samuels,1,4,0,34,1,34,8.5,24
KW Richardson,3,11.5,0,101,2,50.5,8.53,35.5
WD Parnell,4,14.5,0,137,6,22.83,9.23,14.8
AG Murtaza,3,10,0,94,3,31.33,9.4,20
MR Marsh,7,19.2,0,182,7,26,9.41,16.5
AB Dinda,13,49,0,465,16,29.06,9.48,18.3
K Upadhyay,2,5,0,48,0,-,9.6,-
LJ Wright,5,9.5,0,100,2,50,10.16,29.5
AJ Finch,3,4,0,49,1,49,12.25,24
IC Pandey,2,4,0,50,1,50,12.5,24
