Player,Inns,Runs,Ave,BF,SR,4s,6s
LMP Simmons,8,394,56.28,291,135.39,43,14
KA Pollard,15,273,34.12,203,134.48,15,15
RG Sharma,15,390,30,302,129.13,31,16
CJ Anderson,11,265,29.44,181,146.4,21,15
AT Rayudu,14,361,25.78,287,125.78,31,8
MEK Hussey,9,209,23.22,182,114.83,17,7
CM Gautam,9,121,17.28,111,109,13,5
AP Tare,12,126,15.75,98,128.57,16,3
BR Dunk,3,40,13.33,35,114.28,7,0
S Gopal,1,11,11,10,110,1,0
Z Khan,4,8,8,7,114.28,0,1
Harbhajan Singh,7,28,5.6,25,112,2,2
PP Ojha,3,4,4,8,50,0,0
SL Malinga,1,2,2,4,50,0,0
M de Lange,1,1,1,2,50,0,0
P Kumar,1,1,1,2,50,0,0
JJ Bumrah,2,1,-,3,33.33,0,0
