Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
RN ten Doeschate,1,1,0,4,0,-,4,-
GB Hogg,6,21,0,144,9,16,6.85,14
SP Narine,8,32,0,234,7,33.42,7.31,27.4
M Morkel,7,28,1,206,10,20.6,7.35,16.8
PP Chawla,13,35,0,269,11,24.45,7.68,19
AD Russell,13,40.4,0,324,14,23.14,7.96,17.4
J Botha,4,10,0,81,1,81,8.1,60
Shakib Al Hasan,4,14,0,123,4,30.75,8.78,21
UT Yadav,12,42,0,382,10,38.2,9.09,25.2
PJ Cummins,3,10,0,97,1,97,9.7,60
YK Pathan,5,10,0,97,2,48.5,9.7,30
Azhar Mahmood,1,3,0,41,0,-,13.66,-
KC Cariappa,1,2,0,28,1,28,14,12
