Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Warner,12,692,69.2,481,143.86,57,21
JM Bairstow,10,445,55.62,283,157.24,48,18
MK Pandey,11,344,43,263,130.79,34,6
MJ Guptill,3,81,27,53,152.83,4,7
KS Williamson,9,156,22.28,130,120,12,5
V Shankar,14,244,20.33,193,126.42,11,12
Mohammad Nabi,7,115,19.16,76,151.31,8,7
WP Saha,5,86,17.2,53,162.26,13,1
YK Pathan,8,40,13.33,45,88.88,1,1
DJ Hooda,7,64,10.66,63,101.58,5,1
Shakib Al Hasan,1,9,9,10,90,0,0
RK Bhui,1,7,7,12,58.33,0,0
Rashid Khan,8,34,6.8,23,147.82,2,2
Abhishek Sharma,3,9,4.5,9,100,1,0
B Kumar,5,12,4,19,63.15,1,0
KK Ahmed,1,0,0,1,0,0,0
S Kaul,2,0,0,1,0,0,0
Sandeep Sharma,2,6,-,3,200,1,0
Basil Thampi,1,1,-,1,100,0,0
