Player,Inns,Runs,Ave,BF,SR,4s,6s
YK Pathan,16,332,30.18,240,138.33,30,14
RN ten Doeschate,4,85,28.33,63,134.92,9,2
EJG Morgan,13,307,27.9,240,127.91,28,13
G Gambhir,16,406,25.37,343,118.36,51,5
S Narwal,1,23,23,15,153.33,4,0
B Lee,2,21,21,12,175,1,2
JH Kallis,16,311,20.73,322,96.58,35,3
MS Bisla,14,255,19.61,236,108.05,36,6
MK Tiwary,9,146,18.25,140,104.28,12,1
R Bhatia,10,99,16.5,80,123.75,8,3
DB Das,6,75,15,74,101.35,5,5
SMSM Senanayake,4,10,10,17,58.82,0,0
L Balaji,3,9,9,10,90,1,0
SP Narine,6,21,7,19,110.52,0,2
BB McCullum,1,6,6,7,85.71,1,0
P Dogra,1,5,5,8,62.5,0,0
Mohammed Shami,1,5,5,10,50,0,0
R McLaren,2,3,1.5,6,50,0,0
LR Shukla,2,3,1.5,12,25,0,0
Iqbal Abdulla,2,8,-,14,57.14,0,0
PJ Sangwan,1,4,-,2,200,1,0
