Player,Inns,Runs,Ave,BF,SR,4s,6s
DPMD Jayawardene,10,219,36.5,165,132.72,17,7
KC Sangakkara,13,332,30.18,324,102.46,29,5
Yuvraj Singh,14,340,28.33,294,115.64,25,16
RS Bopara,5,138,27.6,119,115.96,8,7
RR Powar,4,23,23,22,104.54,2,0
IK Pathan,12,196,19.6,158,124.05,17,6
SM Katich,9,145,16.11,117,123.93,14,6
K Goel,9,124,15.5,133,93.23,9,4
S Sohal,8,115,14.37,93,123.65,9,8
B Lee,4,28,14,34,82.35,2,1
LA Pomersbach,4,41,10.25,49,83.67,3,1
PP Chawla,10,31,6.2,36,86.11,3,0
WA Mota,6,30,6,48,62.5,0,0
T Kohli,2,1,1,4,25,0,0
S Sreesanth,2,5,-,18,27.77,1,0
TM Srivastava,1,0,-,1,0,0,0
