Player,Inns,Runs,Ave,BF,SR,4s,6s
A Mishra,6,49,49,52,94.23,2,2
SS Iyer,12,338,33.8,243,139.09,36,10
CH Morris,9,154,30.8,94,163.82,15,6
SV Samson,14,386,27.57,273,141.39,32,19
RR Pant,14,366,26.14,221,165.61,28,24
SW Billings,6,138,23,104,132.69,19,1
KK Nair,13,281,21.61,226,124.33,39,6
CJ Anderson,11,142,20.28,123,115.44,8,9
K Rabada,3,55,18.33,64,85.93,5,1
AD Mathews,2,32,16,27,118.51,2,1
PJ Cummins,9,77,15.4,53,145.28,5,4
Mohammed Shami,6,36,9,24,150,4,2
MN Samuels,4,29,7.25,31,93.54,1,2
AP Tare,3,18,6,23,78.26,3,0
CR Brathwaite,2,12,6,15,80,2,0
Z Khan,3,4,4,13,30.76,0,0
S Nadeem,4,2,0.66,9,22.22,0,0
AR Bawne,1,12,-,12,100,1,0
