Player,Inns,Runs,Ave,BF,SR,4s,6s
CH Morris,7,195,65,109,178.89,15,12
JP Duminy,8,191,38.2,156,122.43,13,3
Q de Kock,13,445,37.08,327,136.08,52,13
KK Nair,12,357,35.7,297,120.2,40,6
P Negi,6,57,28.5,59,96.61,2,3
SV Samson,14,291,26.45,259,112.35,20,8
RR Pant,10,198,24.75,152,130.26,19,6
SW Billings,4,88,22,64,137.5,4,4
CR Brathwaite,6,83,13.83,38,218.42,6,8
MA Agarwal,3,27,9,25,108.0,3,1
SS Iyer,6,30,5,43,69.76,2,1
Imran Tahir,1,5,5,7,71.42,1,0
Z Khan,2,6,3,13,46.15,1,0
J Yadav,2,6,3,10,60.0,0,0
A Mishra,2,4,2,14,28.57,0,0
NM Coulter-Nile,2,9,-,14,64.28,1,0
Mohammed Shami,2,2,-,4,50.0,0,0
S Nadeem,1,1,-,5,20.0,0,0
