Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
R Ashwin,12,48,1,293,13,22.53,6.1,22.1
DE Bollinger,8,31,2,207,12,17.25,6.67,15.5
M Muralitharan,12,48,0,329,15,21.93,6.85,19.2
T Thushara,4,14.3,0,101,5,20.2,6.96,17.4
JM Kemp,5,7.2,0,54,3,18,7.36,14.6
SK Raina,12,23.5,0,178,6,29.66,7.46,23.8
SB Jakati,11,38,1,291,13,22.38,7.65,17.5
JA Morkel,14,47.4,1,405,11,36.81,8.49,26
L Balaji,7,23.2,0,207,7,29.57,8.87,20
S Tyagi,6,15.5,0,159,1,159,10.04,95
Joginder Sharma,3,8,0,89,2,44.5,11.12,24
MS Gony,3,8,0,92,1,92,11.5,48
C Ganapathy,1,1,0,13,0,-,13,-
NLTC Perera,1,1,0,19,0,-,19,-
