Player,Inns,Runs,Ave,BF,SR,4s,6s
KL Rahul,14,593,53.9,438,135.38,49,25
SN Khan,5,180,45,143,125.87,19,4
Mandeep Singh,12,165,41.25,120,137.5,10,4
CH Gayle,13,490,40.83,319,153.6,45,34
N Pooran,6,168,28,107,157,9,14
DA Miller,10,213,26.62,164,129.87,19,7
MA Agarwal,13,332,25.53,234,141.88,26,14
SM Curran,8,95,23.75,55,172.72,13,3
Prabhsimran Singh,1,16,16,17,94.11,1,1
R Ashwin,6,42,8.4,28,150,3,3
KK Nair,1,5,5,6,83.33,0,0
M Ashwin,3,3,3,5,60,0,0
GC Viljoen,3,3,1.5,7,42.85,0,0
Mohammed Shami,2,1,1,2,50,0,0
Mujeeb Ur Rahman,3,0,0,4,0,0,0
Harpreet Brar,1,20,-,12,166.66,2,1
AJ Tye,1,0,-,2,0,0,0
