Player,Inns,Runs,Ave,BF,SR,4s,6s
JC Buttler,13,548,54.8,353,155.24,52,21
SV Samson,15,441,31.5,320,137.81,30,19
AM Rahane,14,370,28.46,313,118.21,39,5
RA Tripathi,12,226,25.11,167,135.32,18,8
MK Lomror,2,20,20,21,95.23,1,0
H Klaasen,4,57,19,47,121.27,5,1
S Gopal,4,50,16.66,45,111.11,5,0
DJM Short,7,115,16.42,99,116.16,11,5
BA Stokes,13,196,16.33,161,121.73,13,6
K Gowtham,13,126,14,64,196.87,9,9
JD Unadkat,7,49,12.25,38,128.94,6,1
STR Binny,5,44,8.8,39,112.82,2,2
P Chopra,1,8,8,6,133.33,2,0
DS Kulkarni,2,6,6,7,85.71,0,0
JC Archer,8,15,3,21,71.42,2,0
B Laughlin,2,1,1,4,25,0,0
IS Sodhi,1,1,1,6,16.66,0,0
Anureet Singh,1,3,-,4,75,0,0
