Player,Inns,Runs,Ave,BF,SR,4s,6s
S Dhawan,14,400,33.33,310,129.03,47,7
KC Sangakkara,13,358,27.53,293,122.18,44,5
DB Ravi Teja,9,183,26.14,144,127.08,17,4
CL White,6,104,26,109,95.41,6,2
B Chipli,13,207,25.87,170,121.76,21,4
S Sohal,10,249,24.9,191,130.36,25,10
JP Duminy,10,205,20.5,174,117.81,9,8
DT Christian,13,190,17.27,159,119.49,9,7
A Mishra,9,68,17,49,138.77,9,1
IR Jaggi,2,28,14,37,75.67,3,0
DW Steyn,5,36,9,35,102.85,3,0
MS Gony,2,0,0,2,0,0,0
MJ Lumb,1,0,0,2,0,0,0
I Malhotra,1,7,-,4,175,1,0
I Sharma,5,4,-,5,80,0,0
