Player,Inns,Runs,Ave,BF,SR,4s,6s
JEC Franklin,5,107,53.5,78,137.17,10,2
SR Tendulkar,16,553,42.53,488,113.31,67,5
Harbhajan Singh,8,103,34.33,71,145.07,9,6
RG Sharma,14,372,33.81,297,125.25,32,13
A Symonds,9,135,33.75,138,97.82,9,3
AT Rayudu,16,395,28.21,350,112.85,44,9
AC Blizzard,6,120,20,87,137.93,21,2
DJ Jacobs,6,92,15.33,88,104.54,10,4
KA Pollard,13,146,14.6,133,109.77,12,6
R Sathish,3,25,12.5,34,73.52,1,0
TL Suman,7,65,10.83,51,127.45,5,5
SL Malinga,4,8,2.66,9,88.88,0,1
DS Kulkarni,2,2,2,4,50,0,0
MM Patel,1,0,0,1,0,0,0
AN Ahmed,1,18,-,13,138.46,1,1
AG Murtaza,1,2,-,5,40,0,0
