Player,Inns,Runs,Ave,BF,SR,4s,6s
HM Amla,10,420,60,288,145.83,40,17
SE Marsh,8,264,33,194,136.08,36,5
GJ Maxwell,13,310,31,179,173.18,19,26
AR Patel,13,227,28.37,162,140.12,11,11
DA Miller,4,83,27.66,80,103.75,4,4
M Vohra,9,229,25.44,159,144.02,23,9
WP Saha,11,234,23.4,187,125.13,20,8
MJ Guptill,7,132,22,88,150,17,5
R Tewatia,2,19,19,11,172.72,4,0
EJG Morgan,4,65,16.25,62,104.83,6,2
Anureet Singh,1,15,15,12,125,2,0
MM Sharma,7,51,8.5,50,102,3,1
Swapnil Singh,2,12,6,19,63.15,0,0
MP Stoinis,3,17,5.66,24,70.83,1,0
I Sharma,3,8,4,12,66.66,1,0
VR Aaron,2,4,4,10,40,0,0
KC Cariappa,2,2,1,7,28.57,0,0
Sandeep Sharma,4,7,-,6,116.66,0,0
