Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
JD Unadkat,2,8,0,55,3,18.33,6.87,16
C Sakariya,3,12,0,100,6,16.66,8.33,12
R Tewatia,3,8,0,73,1,73,9.12,48
CH Morris,3,11,0,101,5,20.2,9.18,13.2
Mustafizur Rahman,3,12,0,111,3,37,9.25,24
R Parag,3,4,0,39,1,39,9.75,24
BA Stokes,1,1,0,12,0,-,12,-
S Gopal,1,3,0,40,0,-,13.33,-
S Dube,1,1,0,20,0,-,20,-
