Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
BAW Mendis,1,4,0,24,1,24,6,24
SC Ganguly,7,20,0,128,6,21.33,6.4,20
AB Dinda,12,39,0,260,9,28.88,6.66,26
Mohammad Hafeez,4,10,0,68,2,34,6.8,30
Iqbal Abdulla,1,3,0,22,0,-,7.33,-
Shoaib Akhtar,3,7,0,54,5,10.8,7.71,8.4
I Sharma,13,42.1,1,329,7,47,7.8,36.1
AB Agarkar,9,26,0,207,8,25.87,7.96,19.5
Umar Gul,6,22.3,1,184,12,15.33,8.17,11.2
M Kartik,5,14.4,0,127,3,42.33,8.65,29.3
DJ Hussey,5,13,0,130,2,65,10,39
LR Shukla,9,12,0,124,6,20.66,10.33,12
